Question,Answer
How often should patients use the Knee Pro?,"The Knee Pro is used according to provider guidance as part of the Joint & Mobility Program. It is designed for consistent, repeated use over time to support joint comfort and mobility, with session frequency determined by the clinic."
How long is a Knee Pro session?,"A typical Knee Pro session is a long-duration treatment, often up to one hour, as directed by the provider. The duration is intended to support sustained joint-focused therapy."
Can Knee Pro be used with other joint therapies?,"Yes. Providers may combine Knee Pro with other joint-focused modalities such as LED therapy, vibration therapy, or joint supplements as part of a coordinated Joint & Mobility Program."
What should patients feel during Knee Pro therapy?,"Patients may feel gentle stimulation, warmth, or compression around the knee. Sensations should remain comfortable. Any discomfort should be reported to the provider for adjustment."
How often should patients use the Shoulder Pro?,"The Shoulder Pro is used as directed by the provider as part of the Joint & Mobility Program. Frequency is customized based on shoulder condition, tolerance, and treatment goals."
How long is a Shoulder Pro session?,Shoulder Pro sessions are performed according to provider direction and are designed for extended use to support shoulder mobility and comfort. Duration may vary based on clinical guidance.
Can Shoulder Pro be used with other joint therapies?,"Yes. Providers may integrate Shoulder Pro with other joint-focused therapies such as PowerWrap, LED therapy, or supplements as part of a coordinated plan."
What should patients feel during Shoulder Pro therapy?,Patients may feel gentle stimulation or compression around the shoulder. Sensations should be comfortable and adjustable. Pain or discomfort should be discussed with the provider.
What joint supplements are commonly used in the Joint & Mobility Program?,"Depending on provider guidance, joint supplementation may include Super Flex Joint Formula \u2013 Rebuild + Maintain, OA & RA Relief Cream, and Nerve Target Roll-On. These products are used to support joint comfort and mobility alongside device-based therapies."
When should Super Flex Joint Formula \u2013 Rebuild + Maintain be used?,Super Flex Joint Formula is typically taken daily as directed by the provider. It is intended to support joint structure and comfort as part of the overall Joint & Mobility Program.
When should OA & RA Relief Cream be used?,OA & RA Relief Cream is generally applied to the affected joint area as directed by the provider. It is often used alongside device-based therapies to support localized comfort.
When should Nerve Target Roll-On be used?,Nerve Target Roll-On is applied topically to targeted joint or muscle areas as directed by the provider. It is typically used to complement other joint-focused therapies within the program.
How do joint supplements fit into the Joint & Mobility Program?,"Joint supplements and topicals are used to support comfort, mobility, and recovery while patients follow device-based therapies. Providers determine how supplements are integrated based on individual joint needs."
Can joint supplements be used alone without devices?,"In some cases, joint supplements may be used independently. However, many providers recommend combining them with devices such as Knee Pro or Shoulder Pro for a more comprehensive approach."
What is the PowerWrap used for in the Clinical Program?,"PowerWrap is used in the Clinical Program as a wrap-style light therapy modality (red + infrared) to support targeted comfort and recovery as directed by the provider. It includes adjustable power levels and mode options (Constant, Pulse, Alternating) with preset safety timers."
How long is a PowerWrap session?,"PowerWrap session length depends on the mode: the device uses **preset timers**\u2014**Constant mode is preset to 3 minutes**, and **Pulse mode is preset to 6 minutes** (Alternating switches between the two)."
How often can I use PowerWrap in a day?,Follow provider guidance. The user manual advises **not exceeding 1\u20132 times per treatment area per day**. It also recommends taking **1 rest day for every 2 days of treatment**.
What power level should I start with on PowerWrap?,"The manual recommends starting on **Low or Medium power** for the first uses and adjusting only as tolerated. Power levels shown on the remote are **Low (8,000 mW)**, **Medium (10,000 mW)**, and **High (12,000 mW)**."
How do I choose Constant vs Pulse mode on PowerWrap?,"Use **MODE** on the remote to switch between **Constant**, **Pulse**, and **Alternating**. The manual notes **Constant mode should not exceed 3 minutes per treatment area**, and **Pulse mode should not exceed 6 minutes per treatment area**."
What are the key safety rules for PowerWrap use?,"Key manual guidance includes: **do not overlap** treatment areas; if moving the wrap, place it on a **new, untreated area**; and **inspect skin** during/after use. The manual also cautions to reduce intensity or stop if sensitivity occurs."
Can PowerWrap be combined with other therapies?,"Yes\u2014providers may coordinate PowerWrap with other modalities as part of an overall plan. Always follow provider direction on sequencing and frequency, and keep PowerWrap use within the manual\u2019s timing/frequency guidance."
What is NerveWave used for in the Clinical Program?,"NerveWave is a clinical electrotherapy device with preset programs and adjustable intensity that should always feel **comfortable to mild (never strong)**. It\u2019s used under provider guidance within structured pathways such as regenerative pain control, neuropathy support, restorative recovery, and vagus nerve therapy."
How do I start a program on NerveWave?,"Quick operation steps: **charge the device for 12 hours before first use (or power via wall adapter)**, plug in lead wires by channel, **hold the Power button to turn on**, press **Program** to access programs, select a program/subprogram, then **increase intensity** using the large dial. Each program is **preset with a timer**, and stimulation ends when the program ends."
What intensity should NerveWave be set to?,The Quick Start Guide states intensity should **always feel comfortable to mild\u2014never strong**.
What is the recommended schedule for NerveWave regenerative pain control?,"The Quick Start Guide lists **Regenerative Pain Control** usage guidance as **4\u20135x/week over the course of 26 weeks**, including use for degenerative joint conditions (such as OA/RA of the knee, hand, shoulder) and intractable back pain, under provider guidance."
How is NerveWave typically used for neuropathy?,"The Quick Start Guide lists **Neuropathy** usage guidance as **5x/week over 60\u201390 days**. It also notes: for the first **60\u201390 uses**, use the **Primary and Secondary phases**, ideally **two treatments per day** (1 primary + 1 secondary). After the initial uses, it notes a **maintenance phase** schedule such as **2\u20133 times/week for 6 weeks**, and repeating consistency **about 1x/year** (per provider guidance)."
What is the recommended schedule for NerveWave restorative recovery?,"The Quick Start Guide lists **Restorative Recovery** usage guidance as **4\u20135x/week over the course of 13\u201320 weeks**, including use for post-surgical or post-injury pain and muscle rehabilitation (Rehabilitative Relief) and for muscular-derived pain conditions (Muscle Activation), under provider guidance."
How does NerveWave track usage?,"The Quick Start Guide notes the \u201c**track usage**\u201d button shows cumulative use\u2014**number of sessions and total minutes used**. It also notes users can record pain scale results post-treatment (manual entry is possible, and there can be an automated pop-up before each program for starting/ending pain scale if enabled)."
Can NerveWave be used with accessory tools?,"Yes. The Quick Start Guide includes accessory guidance such as a **scraper tool (gua sha scraper)**, **earlobe clips** (for vagus nerve stimulation\u2014both clips on the **same ear**, not one on each ear), **pre-gelled electrodes** (keep pads **1\u20136 inches apart**), **carbon rubber pads**, and **foot pads** (sold separately)."
What is the recommended schedule for NerveWave vagus nerve therapy?,"The Quick Start Guide lists **Vagus Nerve Therapy** usage guidance as **10 minutes, 1\u20132x daily as needed**, and notes that longer durations may be used when guided by the timer and provider direction."
How long should Vibe be used in a typical session?,The Vibe document states the device has an **automatic 10-minute timer** for a session.
How is Vibe typically used within a clinical plan?,"The Vibe document describes Vibe as a **5\u201310 minute add-on session** that can complement a broader plan, depending on provider direction."
What should I do if my Nerve Bath device is frozen?,"1) Confirm the lock/unlock icon at the top of the screen is set to unlocked. 2) Confirm lead wires are plugged in, carbon rubber pads are connected (one in each water bay), and feet are inserted\u2014intensity won\u2019t engage until the user is engaged. 3) Make sure hands are not wet when touching the touch screen. 4) Use a light tap\u2014don\u2019t press the buttons too hard. 5) Confirm the device was not dropped in water. 6) Shut down the device, charge for 24 hours, and restart."
What if there is no stimulation or weak stimulation in the Nerve Bath?,"1) Confirm lead wires are plugged in, carbon rubber pads are connected (one in each water bay), and feet are inserted\u2014intensity won\u2019t engage until the user is engaged. 2) If neuropathy is late stage, you may have reduced sensation\u2014test by inserting your hands into the bays with the intensity up (don\u2019t over-stimulate your feet by turning it up too high). 3) Add more salt to the water. 4) Replace lead wires if the device is over 6 months old."
What if the Nerve Bath device does not power on?,1) Charge the device for 24 hours. 2) Hold down the power button on the side of the device for 3\u20135 seconds.
What if stimulation stops or the program ends short of 30 minutes?,Charge the device for 24 hours.
What should I do if the LED Wrap lights are flickering or powering down early?,Make sure the cord is firmly connected to the wall and into the power brick.
Which treatment mode should I use on the LED Wrap?,"Use the blue mode (second setting), not the green mode (first setting). Blue mode powers both the red lights and the infrared lights. Green mode powers just the red lights."
What should I avoid doing with the LED Wrap?,IMPORTANT: Never crease the LED wrap by folding it in half and then putting pressure on it.
How do I power the Knee Pro on/off and change modes?,Hold the power button down to turn on or off. Tap to change modes. The device will automatically cycle from Mode 1 to Mode 2.
What if I\u2019m having issues with stimulation on Knee Pro?,Charge the device for 24 hours to make sure the battery is fully charged.
What should I know before using the Quake Plate?,Do not stand on the Quake Plate.
What if the Quake Plate makes a loud grinding noise?,A loud grinding noise usually indicates a mechanical issue. Stop using the device and contact support for further assistance.
What if the Quake Plate remote does not work?,"Check that the remote has a working battery and that there are no obstructions between the remote and the device. If issues persist, contact support."
What battery does the Quake Plate remote use?,The Quake Plate remote uses a standard coin-style battery. Replace the battery if the remote becomes unresponsive.
What should I do if stimulation feels weak with conductive socks or gloves?,Lightly moisten the conductive garments before use and confirm proper leadwire connection. Weak stimulation is often related to dryness or loose connections.
"How do I clean conductive socks, gloves, or garments?","Hand wash with mild soap and water, then air dry completely before reuse. Do not machine wash or dry."
How often should conductive garments be replaced?,"Replacement frequency depends on use and care. If stimulation becomes inconsistent despite proper moistening and connections, replacement may be needed."
What should I do if the Cold Laser does not turn on?,"Confirm the device is fully charged and that the power button is held down for several seconds. If it still does not power on, contact support."
What if the Cold Laser shuts off during treatment?,"Check battery charge and restart the device. If the issue continues, contact support."
What should I do if the LED Wrap does not turn on?,Confirm the power brick is plugged into a working outlet and securely connected to the wrap. Try a different outlet if needed.
What if the LED Wrap lights flicker during use?,Check that the power brick and cable connections are secure at both the outlet and the device. Flickering is commonly caused by a loose connection.
What should I do if the LED Wrap powers down early?,"Confirm the power brick is firmly connected and that the outlet is providing consistent power. If the issue continues, discontinue use and contact support."
How do I clean the LED Wrap?,"Disconnect the wrap from power before cleaning. Wipe the surface gently with a soft, dry or lightly damp cloth. Do not submerge in water."
What should I do if the PowerWrap does not turn on?,"Ensure the device is charged and the power button is pressed firmly. If it still does not turn on, discontinue use and contact support."
What should I do if my skin feels too sensitive after PowerWrap use?,Stop treatment and allow the skin to return to normal before resuming. Reduce power level or frequency as directed by your provider.
What if the PowerWrap remote does not respond?,"Replace the remote battery and confirm there is a clear line of sight to the device. If the issue persists, contact support."
What should I do if NerveWave does not power on?,"Confirm the device is charged or connected to a wall adapter. Hold the power button to turn on. If it still does not start, contact support."
What if I feel no sensation during NerveWave use?,"Increase intensity gradually until a comfortable, mild sensation is felt. Check electrode placement and leadwire connections."
What should I do if NerveWave stimulation feels too strong?,Reduce the intensity immediately to a comfortable level. Stimulation should always feel mild and never painful.
What if the electrodes are not sticking properly?,Replace worn electrodes and ensure the skin is clean and dry before placement. Poor adhesion can reduce stimulation effectiveness.
How do I place electrodes correctly?,"Place electrodes on clean, dry skin with pads spaced approximately 1\u20136 inches apart, following provider guidance and the user guide."
What should I do if NerveWave shuts off during treatment?,"Check the battery level and restart the device. If shutdown continues, discontinue use and contact support."
What should I do if the Vibe device does not turn on?,"Confirm the device is charged or properly powered, then press the power button firmly. If it does not turn on, contact support."
What if the Vibe stops during a session?,"Allow the session to complete its automatic timer. If the device stops unexpectedly, recharge and restart."
What should patients feel during Vibe use?,"A gentle vibration is expected. If discomfort occurs, stop use and consult your provider."
What should I do if Knee Pro does not power on?,"Charge the device fully and hold the power button to turn it on. If it does not respond, contact support."
What if stimulation feels weak on Knee Pro?,Charge the device fully and confirm proper leadwire and garment placement. Weak stimulation is often related to battery level or placement.
How do I change Knee Pro modes?,Tap the power button to cycle through available modes. The device will automatically progress through its preset modes.
What should I do if Shoulder Pro does not power on?,"Charge the device fully and press the power button to turn it on. If it does not respond, contact support."
What if stimulation feels weak on Shoulder Pro?,Confirm the device is fully charged and that the conductive garment is properly fitted and snug. Weak stimulation is commonly related to battery level or garment placement.
How do I change Shoulder Pro modes?,Press the power button to cycle through the preset modes. The device will automatically advance through its programmed sequence.
What if I feel little or no sensation during a Nerve Bath session?,"Check water level, electrode placement, and connection cables. Sensation may vary and should be guided by provider instructions."
What should I do if the Nerve Bath unit does not turn on?,"Confirm the unit is plugged in securely and the power switch is on. If the unit still does not power on, contact support."
Is tingling or warmth normal during a Nerve Bath session?,"Mild tingling or warmth can be normal. If discomfort occurs, stop the session and consult your provider."
What if the LED wrap does not turn on?,"Ensure the controller is charged and properly connected to the wrap. If it still does not power on, contact support."
What should I feel during LED wrap therapy?,"A gentle warmth is typical. If excessive heat or discomfort occurs, stop use and consult your provider."
What if the Cold Laser does not activate?,Confirm the device is charged and properly powered. Follow the user guide for correct activation steps.
What should I feel during Cold Laser therapy?,"Cold Laser therapy is typically painless. A mild warming sensation may occur, but no discomfort should be felt."
What if the Quake Plate feels too intense?,Reduce intensity or shorten session time as directed by your provider. Stop use if discomfort occurs.
What if the Quake Plate does not start vibrating?,"Confirm the unit is plugged in, powered on, and that the control settings are properly selected. If the plate does not activate, contact support."
Is muscle fatigue normal after using the Quake Plate?,"Mild muscle fatigue can occur after use. If soreness persists or discomfort increases, pause use and consult your provider."
What should I do if the PowerWrap does not power on?,Ensure the controller is fully charged and properly connected to the wrap. Refer to the user guide for setup steps before contacting support.
What if PowerWrap feels uncomfortable during use?,Stop the session and adjust placement or intensity as directed by your provider. Discomfort should not occur during normal use.
What if I feel little or no sensation during NerveWave use?,Check electrode placement and connections. Sensation levels may vary and should follow provider guidance.
What should I feel during a NerveWave session?,"A mild pulsing or tingling sensation is typical. If discomfort occurs, stop use and consult your provider."
What if NerveWave does not turn on?,"Confirm the device is charged and that electrodes are properly connected. If the issue continues, contact support."
When should I contact support for device issues?,"If a device does not function as expected after following setup and troubleshooting steps, contact support for assistance."
What if my device will not charge?,"Check that the charging cable and power source are working properly. Allow the device to charge fully before use. If it still does not charge, contact support."
What if my device turns off during use?,"If a device powers off unexpectedly, stop the session and ensure it is adequately charged. Restart only after confirming proper power levels."
What if stimulation feels too strong or uncomfortable?,Stop the session and reduce intensity or adjust placement according to provider guidance. Therapy should remain comfortable at all times.
Can I continue treatment if I experience skin irritation?,Stop use if irritation occurs and allow skin to recover. Consult your provider before resuming therapy.
What if my conductive socks or garments do not work properly?,Ensure garments are slightly moistened and properly connected. Replace worn garments as recommended by your provider.
How do I clean conductive garments?,Follow care instructions provided with the garments. Proper cleaning helps maintain conductivity and performance.
Where can I find setup guides and manuals?,Setup guides and user manuals are provided by your clinic or can be accessed through official NerveSpa resources as directed by your provider.
What if I feel no sensation during a Nerve Bath session?,"Ensure the unit is powered on, salts/tablets are added as directed, and hands or feet are fully submerged. Gradually increase intensity to a comfortable level per provider guidance."
What if the water feels too hot or uncomfortable?,Stop the session and allow the water to cool. Sessions should always be comfortable; adjust water temperature before restarting.
What if the unit does not power on?,"Check the power connection and battery charge. If the unit still does not power on, contact support for assistance."
What if stimulation feels uneven between hands or feet?,Reposition hands or feet evenly in the water and confirm equal setup on both sides. Adjust intensity gradually as needed.
What if the PowerWrap does not turn on?,Verify the power connection and ensure the device is properly charged before use. Restart only after confirming power.
What if the wrap feels too warm?,Stop the session and allow the device to cool. PowerWrap therapy should remain comfortable when used as directed by a provider.
What if I do not feel stimulation with NerveWave?,Check electrode placement and connections. Increase intensity slowly to a comfortable level per provider guidance.
What if electrodes lose adhesion during use?,"Replace or reapply electrodes as directed. Clean, dry skin helps maintain proper adhesion during sessions."
What if the NerveWave unit will not power on?,"Confirm the device is charged and all connections are secure. If the unit still does not power on, contact support for assistance."
What if the Vibe device does not start?,Ensure the device is properly connected and powered on. Restart the device following the setup steps provided by your clinic or provider.
What if vibration feels uncomfortable?,Stop the session and restart at a lower setting if recommended by your provider. Vibration therapy should remain comfortable at all times.
What if the Knee Pro does not deliver sensation?,Check strap placement and ensure the device is powered on. Increase intensity gradually as directed by your provider.
What if the Knee Pro strap feels too tight or loose?,Readjust the strap so it is secure but comfortable. Proper fit helps ensure effective therapy.
What if the Shoulder Pro feels uncomfortable during use?,Stop the session and adjust placement. Shoulder Pro should fit securely without causing pain or discomfort.
What if the Shoulder Pro does not power on?,"Check connections and power status. If the issue persists, contact support for further guidance."
What if I don\u2019t feel stimulation in the water?,"Gradually increase the intensity using the control dial until a mild, comfortable sensation is felt. Ensure the water contains the recommended salts and tablets as directed."
What if stimulation feels uneven between feet or hands?,Ensure both sides are filled with the same amount of warm water and consumables. Adjust positioning so hands or feet are fully submerged and relaxed.
What if the unit shuts off during a session?,"The NerveSpa Nerve Bath includes an automatic shutoff at the end of the programmed session. If it shuts off early, check battery charge and restart if needed."
What if the Cold Laser does not emit light?,Check that the device is powered on and properly charged. Ensure the applicator is positioned correctly against the skin.
What if treatment feels ineffective?,Confirm session duration and placement follow provider guidance. Consistent use over time is important for results.
What if vibration feels too intense?,Stop the session and restart at a lower setting if recommended by your provider. Vibration should remain comfortable.
What if the Quake Plate does not power on?,Check the power source and ensure the device is properly connected. Contact support if the issue continues.
What if conductive socks or gloves feel dry during use?,Lightly moisten the conductive garments with water before starting the session. Proper moisture helps ensure consistent stimulation.
What if stimulation cuts in and out when using conductive garments?,Check lead wire connections and ensure the garments are evenly moistened. Inconsistent stimulation is often related to connection or moisture issues.
What if the garment no longer conducts stimulation well?,"Over time, conductive garments can wear down. If stimulation remains inconsistent despite proper setup, replacement may be needed."
What if Knee Pro shuts off during a session?,"Charge the device fully before restarting. If shutdown continues, discontinue use and contact support."
What if the Knee Pro feels uncomfortable around the knee?,Stop the session and adjust strap placement so the device is secure but comfortable.
What if the Shoulder Pro shifts during use?,Readjust the wrap so it fits snugly and remains in place during the session.
What if the Shoulder Pro shuts off unexpectedly?,"Ensure the device is fully charged before use. If the issue continues, contact support."
What if the screen does not respond or freezes?,"Turn the device off and back on. If the issue persists, discontinue use and contact support."
What if lead wires appear damaged?,Stop using the device and replace damaged lead wires. Using compromised accessories can affect performance.
When should I stop treatment and contact my provider?,"Stop treatment if pain, discomfort, or unexpected reactions occur. Contact your provider for guidance before resuming use."
What if a device will not power on?,"Ensure the device is fully charged or properly connected to power. If it still does not turn on, discontinue use and contact support."
What if stimulation feels weaker than expected?,"Check connections, electrode or garment moisture, and device settings. Weak stimulation is often related to setup issues."
What if the device becomes warm during use?,"Mild warmth can be normal. If the device becomes excessively hot, stop use and allow it to cool before restarting."
What if an error message appears on the screen?,"Power the device off and restart. If the error persists, contact support for further guidance."
What if the battery drains faster than expected?,"Fully charge the device before each use. If battery performance declines significantly, contact support."
What if accessories are lost or damaged?,Replacement accessories can be ordered through approved channels. Contact support for assistance.
Can devices be shared between patients?,Devices are assigned per provider guidance. Sharing policies depend on clinical protocols and hygiene standards.
How should devices be cleaned after use?,Follow the cleaning instructions provided in the user guide. Use gentle cleaning methods and avoid submerging electronic components.
When should I contact NerveSpa support?,Contact support if troubleshooting steps do not resolve the issue or if the device does not function as expected.
What if there is no sensation during a NerveSpa Nerve Bath session?,"Check that lead wires are connected properly, salts and tablets are added, and intensity is increased gradually until a mild sensation is felt."
What if the sensation feels uneven between feet or hands?,Uneven sensation can occur due to skin condition or placement. Adjust position and ensure equal contact with the water.
What if the water feels too warm or too cool?,"Use warm, comfortable water. Avoid hot water, as it may affect comfort and session quality."
What if the session stops,"If the session stops before the full programmed time, first check whether the device automatically completed its preset cycle. Many NerveSpa devices are designed to stop once the selected program has finished.

If the session stopped unexpectedly:

\u2022 Ensure the device is properly connected and powered on
\u2022 Check that all cables, pads, or wraps are securely attached
\u2022 Confirm the battery is adequately charged (if applicable)
\u2022 Restart the device and begin a new session

If the device continues to stop unexpectedly after these steps, discontinue use and contact NerveSpa customer support or your provider for assistance."
What if the session stops before 30 minutes?,"The NerveSpa Nerve Bath is designed with an automatic 30-minute shutoff. If the session ends early, check battery charge and connections before restarting."
What if the device will not power on?,"Ensure the unit is fully charged and all cables are securely connected. If the device still does not power on, contact support."
What if stimulation feels too strong?,Reduce intensity using the control buttons until the sensation is mild and comfortable. Sessions should never be painful.
What if the wrap shuts off during a session?,The wrap may shut off automatically at the end of a programmed session or if battery power is low. Recharge the unit and restart if needed.
What if I do not feel anything during treatment?,LED therapy may not produce a strong sensation. Consistent use as directed is important even if minimal sensation is felt.
What if the Cold Laser does not power on?,Ensure the device is fully charged and the power button is pressed firmly. Confirm the applicator is properly connected before starting a session.
What if the laser shuts off during treatment?,The Cold Laser may shut off automatically at the end of a timed session or if the battery is low. Recharge the device and restart as directed.
What if I do not feel any sensation from the laser?,Cold laser therapy may not create a noticeable sensation. Follow provider guidance and use consistently even if little or no sensation is felt.
What should I do if the device overheats?,"If the device feels unusually warm, stop the session and allow it to cool. Ensure proper placement and airflow before resuming use."
What if the wrap does not stay secured?,Adjust the straps to ensure a snug but comfortable fit around the treatment area. Proper positioning helps deliver consistent therapy.
What if the LEDs appear dim?,Check battery level and ensure the wrap is fully charged. Dim light may indicate low battery power.
What if the Knee Pro does not power on?,Confirm the controller is charged and all connections are secure. Press the power button firmly to start the session.
What if the stimulation feels too strong?,Lower the intensity until the sensation is mild and comfortable. Knee Pro sessions should never be painful.
What if the stimulation feels too weak?,Increase intensity gradually until a comfortable sensation is felt. Check strap fit and skin
How do clinics measure patient engagement with NerveSpa?,"Clinics can measure engagement through usage consistency, session completion, and patient participation over time. NerveSpa supports clinics by providing non-diagnostic usage insights that help assess adherence and engagement trends."
What non-diagnostic indicators can providers monitor when using NerveSpa?,"Providers may monitor patient-reported comfort, tolerance, functional ease, and overall experience during use. These indicators are observational and experiential, not diagnostic or treatment outcomes."
How does NerveSpa support patient-reported comfort or function tracking?,"NerveSpa supports clinics by enabling consistent use routines and optional documentation of patient feedback related to comfort and daily function, as determined by the provider\u2019s clinical workflow."
Can clinics document changes in patient experience over time with NerveSpa?,"Yes. Clinics may document patient-reported experiences over time using their own clinical notes or systems. NerveSpa does not diagnose or treat conditions but supports structured, repeatable use."
Does NerveSpa provide usage or adherence data to clinics?,"NerveSpa systems may provide usage-related information such as session duration or frequency, depending on configuration. This information is intended for operational insight, not medical evaluation."
How can providers discuss progress with patients without making medical claims?,"Providers should focus on patient-reported experiences, comfort, and engagement rather than outcomes or diagnoses. Discussions should emphasize support, consistency, and overall wellness experience."
What types of patient feedback are most commonly reported with NerveSpa use?,"Feedback often relates to comfort during sessions, ease of use, relaxation, and overall experience. Individual responses vary, and feedback should be documented at the provider\u2019s discretion."
How should front-desk staff explain NerveSpa to patients in simple terms?,Staff can explain NerveSpa as a clinic-guided wellness technology designed to support nerve-focused comfort and relaxation as part of a broader care plan.
What should staff say if a patient asks whether NerveSpa replaces medical treatment?,Staff should clarify that NerveSpa does not replace medical treatment and is intended to support wellness alongside provider-directed care.
How should staff respond if a patient asks whether NerveSpa is FDA approved?,"Staff may state that NerveSpa is produced by an FDA-registered manufacturer and used under provider guidance, without making claims about treatment or cure."
What should staff say if a patient asks about insurance coverage?,"Staff should explain that coverage varies by clinic and payer, and patients should consult the clinic directly for billing or reimbursement information."
How should staff explain home use versus in-clinic guidance?,"Staff can explain that some clinics may recommend guided home use, while others focus on in-clinic protocols, based on provider discretion."
What is the best way for staff to set expectations before a patient begins using NerveSpa?,"Staff should emphasize comfort, gradual familiarization, and provider guidance, while avoiding promises of outcomes."
How should staff handle common patient misconceptions about NerveSpa?,Staff should correct misconceptions by reinforcing that NerveSpa supports wellness and comfort and is not a diagnostic or treatment device.
How is NerveSpa different from consumer-grade nerve stimulation devices?,"NerveSpa is designed for clinical environments, emphasizing provider-guided use, consistency, and integration into care workflows rather than direct-to-consumer self-treatment."
What makes NerveSpa a clinic-grade system rather than a retail product?,"NerveSpa is distributed through professional channels and intended for use under clinical guidance, with systems and support designed for healthcare settings."
Why do clinics choose NerveSpa over generic home wellness devices?,"Clinics choose NerveSpa for its structured approach, professional support, and alignment with clinical workflows and patient education."
How does NerveSpa integrate into existing clinical workflows?,"NerveSpa is designed to complement existing care plans, allowing clinics to incorporate it into evaluations, education, and ongoing support routines."
What design principles guide the NerveSpa system?,"The system emphasizes consistency, ease of use, patient comfort, and provider oversight, supporting repeatable and reliable wellness routines."
How does NerveSpa support consistency and repeatability in patient use?,NerveSpa supports repeatable use through standardized protocols and clear guidance established by the clinic.
When should clinics pause or discontinue use of NerveSpa?,"Clinics should pause use if a patient reports discomfort, unexpected reactions, or if clinical judgment indicates reassessment is appropriate."
What should providers do if a patient reports discomfort during use?,"Providers should stop the session, assess the situation, and determine next steps based on professional judgment and clinic protocols."
When should a clinic contact NerveSpa support versus handling an issue internally?,"Clinics should contact NerveSpa support for device-related questions or technical issues, while clinical decisions remain the responsibility of the provider."
What situations require clinical judgment before continuing NerveSpa use?,"Any changes in patient tolerance, reported discomfort, or clinical context should prompt provider review before continuing use."
Are there any patient scenarios where NerveSpa may not be appropriate?,Appropriateness is determined by the provider based on individual patient circumstances and clinical discretion.
How does NerveSpa support safe use alongside other clinical modalities?,"NerveSpa is designed to complement other modalities, with integration determined by provider judgment and clinic protocols."
Is NerveSpa available outside the United States?,Availability may vary by region. Clinics outside the U.S. may contact NerveSpa to inquire about current options.
Are international certifications or markets planned for NerveSpa?,"NerveSpa evaluates expansion opportunities based on regulatory requirements, clinical demand, and operational readiness."
Can clinics outside the U.S. request information or express interest?,Yes. Clinics may contact NerveSpa to request information and discuss potential availability in their region.
How does NerveSpa evaluate expansion into new regions or care settings?,"Expansion is evaluated based on regulatory compliance, clinical alignment, and the ability to support providers effectively."
Show me a demo,Which product would you like a demo for? Options: Footbath \u2022 Conductive Garments \u2022 LED Wrap \u2022 Power Wrap \u2022 QuakePlate \u2022 Knee Pro \u2022 Shoulder Pro. You can also say \u201call\u201d to see demos/manuals for every device.
Show me demos for all devices,Footbath \u2014 Demos: https://www.youtube.com/@nervespa \u2022 Manuals: Quick Guide https://drive.google.com/file/d/1ABWl8aU_hrvUSoRkmb3GoHl-rhbhTXIb/view?usp=sharing | User Guide https://drive. google.com/file/d/1IEghxBOy0alvw3U4V9CDd7D4eulpxcgs/view?usp=sharing | Conductive Garments \u2014 Demos: https://www.youtube.com/@nervespa \u2022 Manual: https://drive.google. com/file/d/18q1b0FWvLZuBscJmdrwuefhv3oEnUSlc/view?usp=sharing | LED Wrap \u2014 Demos: https://www.youtube.com/@nervespa \u2022 Manual: https://drive.google.com/file/d/11FfLZ7E1O8iyxb4SdKSlBHp- NNsKbOmC/view?usp=sharing | Power Wrap \u2014 Demos: https://www.youtube.com/@nervespa \u2022 Manual: https://drive.google.com/file/d/1wWDJ7dD9kanGU925nk0Kp-T7o9faupF5/view?usp=sharing | QuakePlate \u2014 Demos: https://www.youtube.com/@nervespa \u2022 Manual: https://drive.google.com/file/d/1BNgb7jAoSEezTWMbTTh5R7rr5xXs1b_n/view?usp=sharing | Knee Pro \u2014 Demos: https://www. youtube.com/@nervespa \u2022 Quick Start: https://drive.google.com/file/d/17lhLon5mvNzZxvJvtuPJw-bgQ5BptylB/view?usp=sharing | Shoulder Pro \u2014 Demos: https://www.youtube.com/@nervespa \u2022 Quick Start: https://drive.google.com/file/d/1QwjkbWJhezrzXTys7ha8bHr52qRlPJcF/view?usp=sharing
Show me a demo for Footbath,YouTube demos: https://www.youtube.com/@nervespa \u2022 Manuals: Quick Guide https://drive.google.com/file/d/1ABWl8aU_hrvUSoRkmb3GoHl-rhbhTXIb/view?usp=sharing | User Guide https://drive.google. com/file/d/1IEghxBOy0alvw3U4V9CDd7D4eulpxcgs/view?usp=sharing
Show me a demo for Conductive Garments,YouTube demos: https://www.youtube.com/@nervespa \u2022 Manual: https://drive.google.com/file/d/18q1b0FWvLZuBscJmdrwuefhv3oEnUSlc/view?usp=sharing
Show me a demo for LED Wrap,YouTube demos: https://www.youtube.com/@nervespa \u2022 Manual: https://drive.google.com/file/d/11FfLZ7E1O8iyxb4SdKSlBHp-NNsKbOmC/view?usp=sharing
Show me a demo for Power Wrap,YouTube demos: https://www.youtube.com/@nervespa \u2022 Manual: https://drive.google.com/file/d/1wWDJ7dD9kanGU925nk0Kp-T7o9faupF5/view?usp=sharing
Show me a demo for QuakePlate,YouTube demos: https://www.youtube.com/@nervespa \u2022 Manual: https://drive.google.com/file/d/1BNgb7jAoSEezTWMbTTh5R7rr5xXs1b_n/view?usp=sharing
Show me a demo for Knee Pro,YouTube demos: https://www.youtube.com/@nervespa \u2022 Quick Start: https://drive.google.com/file/d/17lhLon5mvNzZxvJvtuPJw-bgQ5BptylB/view?usp=sharing
